"management","node_id","taxon","abun","services","type","body_size","weight","output"
"E",128,"Flower-visiting",392.073707598,"Pollination","D",1,392.073707598,"+"
"E",265,"Flower-visiting",771.0842595,"Pollination","D",1,771.0842595,"+"
"E",245,"Flower-visiting",1987.209835682,"Pollination","D",1,1987.209835682,"+"
"E",307,"Flower-visiting",14255.192712528,"Pollination","D",1,14255.192712528,"+"
"E",281,"Flower-visiting",415.08281502,"Pollination","D",1,415.08281502,"+"
"E",280,"Flower-visiting",385.54212975,"Pollination","D",1,385.54212975,"+"
"E",248,"Flower-visiting",773.4751031815,"Pollination","D",1,773.4751031815,"+"
"E",190,"Flower-visiting",1012.427270574,"Pollination","D",1,1012.427270574,"+"
"E",186,"Flower-visiting",1362.813672148,"Pollination","D",1,1362.813672148,"+"
"E",284,"Flower-visiting",385.54212975,"Pollination","D",1,385.54212975,"+"
"E",203,"Flower-visiting",385.54212975,"Pollination","D",1,385.54212975,"+"
"E",196,"Flower-visiting",1726.55952875,"Pollination","D",1,1726.55952875,"+"
"E",131,"Flower-visiting",775.41763309,"Pollination","D",1,775.41763309,"+"
"E",138,"Flower-visiting",2803.1461641915,"Pollination","D",1,2803.1461641915,"+"
"E",249,"Flower-visiting",2049.9110668245,"Pollination","D",1,2049.9110668245,"+"
"E",233,"Flower-visiting",1906.160278005,"Pollination","D",1,1906.160278005,"+"
"E",238,"Flower-visiting",4975.7827293,"Pollination","D",1,4975.7827293,"+"
"E",288,"Flower-visiting",395.51498855,"Pollination","D",1,395.51498855,"+"
"E",209,"Flower-visiting",1504.88349555,"Pollination","D",1,1504.88349555,"+"
"E",287,"Flower-visiting",887.405072354,"Pollination","D",1,887.405072354,"+"
"E",181,"Flower-visiting",348.1438078,"Pollination","D",1,348.1438078,"+"
"E",250,"Flower-visiting",1447.4443788,"Pollination","D",1,1447.4443788,"+"
"E",306,"Flower-visiting",1880.08789934,"Pollination","D",1,1880.08789934,"+"
"E",253,"Flower-visiting",1112.57586349,"Pollination","D",1,1112.57586349,"+"
"E",251,"Flower-visiting",348.1438078,"Pollination","D",1,348.1438078,"+"
"E",173,"Flower-visiting",1423.313199005,"Pollination","D",1,1423.313199005,"+"
"E",132,"Flower-visiting",1388.963231,"Pollination","D",1,1388.963231,"+"
"E",223,"Flower-visiting",360.1904645,"Pollination","D",1,360.1904645,"+"
"E",256,"Flower-visiting",1470.52917415,"Pollination","D",1,1470.52917415,"+"
"E",142,"Flower-visiting",360.1904645,"Pollination","D",1,360.1904645,"+"
"E",143,"Flower-visiting",360.1904645,"Pollination","D",1,360.1904645,"+"
"E",222,"Flower-visiting",687.51463554,"Pollination","D",1,687.51463554,"+"
"E",158,"Flower-visiting",1046.415619075,"Pollination","D",1,1046.415619075,"+"
"E",170,"Flower-visiting",360.1904645,"Pollination","D",1,360.1904645,"+"
"E",267,"Flower-visiting",360.1904645,"Pollination","D",1,360.1904645,"+"
"E",140,"Flower-visiting",900.4761615,"Pollination","D",1,900.4761615,"+"
"E",308,"Flower-visiting",2688.18657834,"Pollination","D",1,2688.18657834,"+"
"E",305,"Flower-visiting",332.813494,"Pollination","D",1,332.813494,"+"
"E",520,"Butterfly",212.185839198,"Pollination","D",1,212.185839198,"+"
"E",521,"Butterfly",4709.50244501,"Pollination","D",1,4709.50244501,"+"
"E",517,"Butterfly",596.157977109,"Pollination","D",1,596.157977109,"+"
"E",518,"Butterfly",218.177985312,"Pollination","D",1,218.177985312,"+"
"E",523,"Butterfly",308.346505294,"Pollination","D",1,308.346505294,"+"
"E",527,"Butterfly",109.034372934,"Pollination","D",1,109.034372934,"+"
"E",529,"Butterfly",376.628607975,"Pollination","D",1,376.628607975,"+"
"E",526,"Butterfly",70.543187389,"Pollination","D",1,70.543187389,"+"
"E",247,"Flower-visiting",9.496916815,"Pollination","D",1,9.496916815,"+"
"E",124,"Flower-visiting",4572.433568223,"Pollination","D",1,4572.433568223,"+"
"E",327,"Flower-visiting",9.496916815,"Pollination","D",1,9.496916815,"+"
"E",259,"Flower-visiting",566.9059917345,"Pollination","D",1,566.9059917345,"+"
"E",101,"Flower-visiting",535.35746349,"Pollination","D",1,535.35746349,"+"
"E",231,"Flower-visiting",9.496916815,"Pollination","D",1,9.496916815,"+"
"E",163,"Flower-visiting",9.496916815,"Pollination","D",1,9.496916815,"+"
"E",167,"Flower-visiting",9.496916815,"Pollination","D",1,9.496916815,"+"
"E",151,"Flower-visiting",374.77528901,"Pollination","D",1,374.77528901,"+"
"E",152,"Flower-visiting",32.406967601,"Pollination","D",1,32.406967601,"+"
"E",285,"Flower-visiting",1175.103104038,"Pollination","D",1,1175.103104038,"+"
"E",195,"Flower-visiting",758.57283793,"Pollination","D",1,758.57283793,"+"
"E",255,"Flower-visiting",59.20301919,"Pollination","D",1,59.20301919,"+"
"E",210,"Flower-visiting",379.286418965,"Pollination","D",1,379.286418965,"+"
"E",339,"Flower-visiting",9.496916815,"Pollination","D",1,9.496916815,"+"
"E",212,"Flower-visiting",138.8174028,"Pollination","D",1,138.8174028,"+"
"E",241,"Flower-visiting",416.4522084,"Pollination","D",1,416.4522084,"+"
"E",299,"Flower-visiting",1433.1273476,"Pollination","D",1,1433.1273476,"+"
"E",215,"Flower-visiting",176.105360125,"Pollination","D",1,176.105360125,"+"
"E",268,"Flower-visiting",416.4522084,"Pollination","D",1,416.4522084,"+"
"E",139,"Flower-visiting",185.08987035,"Pollination","D",1,185.08987035,"+"
"E",112,"Flower-visiting",12093.214525514,"Pollination","D",1,12093.214525514,"+"
"E",528,"Butterfly",78.450780223,"Pollination","D",1,78.450780223,"+"
"E",516,"Butterfly",64.013938471,"Pollination","D",1,64.013938471,"+"
"E",525,"Butterfly",18.012781921,"Pollination","D",1,18.012781921,"+"
"E",519,"Butterfly",64.623136982,"Pollination","D",1,64.623136982,"+"
"E",530,"Butterfly",27.116044156,"Pollination","D",1,27.116044156,"+"
"E",524,"Butterfly",38.175601595,"Pollination","D",1,38.175601595,"+"
"E",290,"Flower-visiting",238.07722215,"Pollination","D",1,238.07722215,"+"
"E",271,"Flower-visiting",238.07722215,"Pollination","D",1,238.07722215,"+"
"E",310,"Flower-visiting",486.00133939,"Pollination","D",1,486.00133939,"+"
"E",237,"Flower-visiting",238.07722215,"Pollination","D",1,238.07722215,"+"
"E",309,"Flower-visiting",2434.52099482,"Pollination","D",1,2434.52099482,"+"
"E",197,"Flower-visiting",476.1544443,"Pollination","D",1,476.1544443,"+"
"E",224,"Flower-visiting",607.8667243,"Pollination","D",1,607.8667243,"+"
"E",129,"Flower-visiting",1051.4105044415,"Pollination","D",1,1051.4105044415,"+"
"E",303,"Flower-visiting",238.07722215,"Pollination","D",1,238.07722215,"+"
"E",294,"Flower-visiting",272.77716843,"Pollination","D",1,272.77716843,"+"
"E",331,"Flower-visiting",2456.81423565,"Pollination","D",1,2456.81423565,"+"
"E",113,"Flower-visiting",238.07722215,"Pollination","D",1,238.07722215,"+"
"E",171,"Flower-visiting",817.61452684,"Pollination","D",1,817.61452684,"+"
"E",213,"Flower-visiting",238.07722215,"Pollination","D",1,238.07722215,"+"
"E",127,"Flower-visiting",476.1544443,"Pollination","D",1,476.1544443,"+"
"E",232,"Flower-visiting",1204.6199205,"Pollination","D",1,1204.6199205,"+"
"E",324,"Flower-visiting",1204.6199205,"Pollination","D",1,1204.6199205,"+"
"E",286,"Flower-visiting",1254.326022875,"Pollination","D",1,1254.326022875,"+"
"E",317,"Flower-visiting",2419.238315055,"Pollination","D",1,2419.238315055,"+"
"E",318,"Flower-visiting",1204.6199205,"Pollination","D",1,1204.6199205,"+"
"E",292,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",192,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",134,"Flower-visiting",29.54068527,"Pollination","D",1,29.54068527,"+"
"E",236,"Flower-visiting",41.231524128,"Pollination","D",1,41.231524128,"+"
"E",221,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",189,"Flower-visiting",312.31801494,"Pollination","D",1,312.31801494,"+"
"E",242,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",328,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",100,"Flower-visiting",19.69379018,"Pollination","D",1,19.69379018,"+"
"E",176,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",283,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",107,"Flower-visiting",19.69379018,"Pollination","D",1,19.69379018,"+"
"E",201,"Flower-visiting",409.17708251,"Pollination","D",1,409.17708251,"+"
"E",240,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",117,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",218,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",261,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",219,"Flower-visiting",44.54684137,"Pollination","D",1,44.54684137,"+"
"E",282,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",120,"Flower-visiting",19.69379018,"Pollination","D",1,19.69379018,"+"
"E",214,"Flower-visiting",183.85177558,"Pollination","D",1,183.85177558,"+"
"E",103,"Flower-visiting",287.93485333,"Pollination","D",1,287.93485333,"+"
"E",252,"Flower-visiting",19.69379018,"Pollination","D",1,19.69379018,"+"
"E",121,"Flower-visiting",19.69379018,"Pollination","D",1,19.69379018,"+"
"E",276,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",234,"Flower-visiting",88.62205583,"Pollination","D",1,88.62205583,"+"
"E",199,"Flower-visiting",59.552997465,"Pollination","D",1,59.552997465,"+"
"E",111,"Flower-visiting",69.39989256,"Pollination","D",1,69.39989256,"+"
"E",266,"Flower-visiting",312.31801494,"Pollination","D",1,312.31801494,"+"
"E",293,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",169,"Flower-visiting",112.053261844,"Pollination","D",1,112.053261844,"+"
"E",333,"Flower-visiting",19.69379018,"Pollination","D",1,19.69379018,"+"
"E",298,"Flower-visiting",237.8787410115,"Pollination","D",1,237.8787410115,"+"
"E",300,"Flower-visiting",128.48126311,"Pollination","D",1,128.48126311,"+"
"E",273,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",187,"Flower-visiting",123.066322828,"Pollination","D",1,123.066322828,"+"
"E",136,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",235,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",216,"Flower-visiting",9.84689509,"Pollination","D",1,9.84689509,"+"
"E",122,"Flower-visiting",776.9705976245,"Pollination","D",1,776.9705976245,"+"
"E",264,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",137,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",263,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",182,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",180,"Flower-visiting",59.081370555,"Pollination","D",1,59.081370555,"+"
"E",274,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",174,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",177,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",229,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",227,"Flower-visiting",22.959579109,"Pollination","D",1,22.959579109,"+"
"E",159,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",244,"Flower-visiting",100.817540475,"Pollination","D",1,100.817540475,"+"
"E",184,"Flower-visiting",1644.86936839,"Pollination","D",1,1644.86936839,"+"
"E",104,"Flower-visiting",311.82788961,"Pollination","D",1,311.82788961,"+"
"E",133,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",311,"Flower-visiting",39.38758037,"Pollination","D",1,39.38758037,"+"
"E",338,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",161,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",277,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",162,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",325,"Flower-visiting",19.693790185,"Pollination","D",1,19.693790185,"+"
"E",515,"Butterfly",10.11510555,"Pollination","D",1,10.11510555,"+"
"E",295,"Flower-visiting",59.503469152,"Pollination","D",1,59.503469152,"+"
"E",226,"Flower-visiting",3.265788924,"Pollination","D",1,3.265788924,"+"
"E",185,"Flower-visiting",28.118840114,"Pollination","D",1,28.118840114,"+"
"E",315,"Flower-visiting",3.265788924,"Pollination","D",1,3.265788924,"+"
"E",320,"Flower-visiting",3.265788924,"Pollination","D",1,3.265788924,"+"
"E",206,"Flower-visiting",3.265788924,"Pollination","D",1,3.265788924,"+"
"E",246,"Flower-visiting",28.118840114,"Pollination","D",1,28.118840114,"+"
"E",225,"Flower-visiting",52.971891299,"Pollination","D",1,52.971891299,"+"
"E",291,"Flower-visiting",3.265788924,"Pollination","D",1,3.265788924,"+"
"E",135,"Flower-visiting",3.265788924,"Pollination","D",1,3.265788924,"+"
"E",156,"Flower-visiting",4.3543852315,"Pollination","D",1,4.3543852315,"+"
"E",172,"Flower-visiting",3.265788924,"Pollination","D",1,3.265788924,"+"
"E",297,"Flower-visiting",743.9333895315,"Pollination","D",1,743.9333895315,"+"
"E",150,"Flower-visiting",676.6150072315,"Pollination","D",1,676.6150072315,"+"
"E",269,"Flower-visiting",52.971891299,"Pollination","D",1,52.971891299,"+"
"E",335,"Flower-visiting",3.265788924,"Pollination","D",1,3.265788924,"+"
"E",178,"Flower-visiting",6.53157785,"Pollination","D",1,6.53157785,"+"
"E",329,"Flower-visiting",6.53157785,"Pollination","D",1,6.53157785,"+"
"E",239,"Flower-visiting",6.53157785,"Pollination","D",1,6.53157785,"+"
"E",188,"Flower-visiting",311.179890315,"Pollination","D",1,311.179890315,"+"
"E",337,"Flower-visiting",561.21583135,"Pollination","D",1,561.21583135,"+"
"E",220,"Flower-visiting",6.53157785,"Pollination","D",1,6.53157785,"+"
"E",257,"Flower-visiting",6.53157785,"Pollination","D",1,6.53157785,"+"
"E",279,"Flower-visiting",327.32417104,"Pollination","D",1,327.32417104,"+"
"E",211,"Flower-visiting",302.47111985,"Pollination","D",1,302.47111985,"+"
"E",304,"Flower-visiting",302.47111985,"Pollination","D",1,302.47111985,"+"
"E",272,"Flower-visiting",302.47111985,"Pollination","D",1,302.47111985,"+"
"E",319,"Flower-visiting",302.47111985,"Pollination","D",1,302.47111985,"+"
"E",165,"Flower-visiting",302.47111985,"Pollination","D",1,302.47111985,"+"
"E",109,"Flower-visiting",302.47111985,"Pollination","D",1,302.47111985,"+"
"E",125,"Flower-visiting",394.64255334,"Pollination","D",1,394.64255334,"+"
"E",230,"Flower-visiting",369.78950215,"Pollination","D",1,369.78950215,"+"
"E",296,"Flower-visiting",369.78950215,"Pollination","D",1,369.78950215,"+"
"E",301,"Flower-visiting",3697.8950225,"Pollination","D",1,3697.8950225,"+"
"E",217,"Flower-visiting",5177.0530315,"Pollination","D",1,5177.0530315,"+"
"E",208,"Flower-visiting",739.5790045,"Pollination","D",1,739.5790045,"+"
"E",302,"Flower-visiting",739.5790045,"Pollination","D",1,739.5790045,"+"
"E",114,"Flower-visiting",1294.263258,"Pollination","D",1,1294.263258,"+"
"E",200,"Flower-visiting",739.5790045,"Pollination","D",1,739.5790045,"+"
"E",154,"Flower-visiting",739.5790045,"Pollination","D",1,739.5790045,"+"
"E",522,"Butterfly",47.40897436,"Pollination","D",1,47.40897436,"+"
"E",336,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",115,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",254,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",160,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",243,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",175,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",313,"Flower-visiting",49.70610238,"Pollination","D",1,49.70610238,"+"
"E",340,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",334,"Flower-visiting",74.559153565,"Pollination","D",1,74.559153565,"+"
"E",262,"Flower-visiting",173.97135833,"Pollination","D",1,173.97135833,"+"
"E",146,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",314,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",194,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",207,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",191,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",289,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",110,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",258,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",204,"Flower-visiting",149.11830714,"Pollination","D",1,149.11830714,"+"
"E",275,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",316,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",148,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",149,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",102,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",145,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",147,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",155,"Flower-visiting",24.85305119,"Pollination","D",1,24.85305119,"+"
"E",130,"Flower-visiting",49.706102375,"Pollination","D",1,49.706102375,"+"
"E",157,"Flower-visiting",49.706102375,"Pollination","D",1,49.706102375,"+"
"E",108,"Flower-visiting",49.706102375,"Pollination","D",1,49.706102375,"+"
"E",119,"Flower-visiting",49.706102375,"Pollination","D",1,49.706102375,"+"
"E",106,"Flower-visiting",49.706102375,"Pollination","D",1,49.706102375,"+"
"E",116,"Flower-visiting",49.706102375,"Pollination","D",1,49.706102375,"+"
"E",332,"Flower-visiting",49.706102375,"Pollination","D",1,49.706102375,"+"
"E",323,"Flower-visiting",49.706102375,"Pollination","D",1,49.706102375,"+"
"E",270,"Flower-visiting",49.706102375,"Pollination","D",1,49.706102375,"+"
"E",168,"Flower-visiting",198.8244095,"Pollination","D",1,198.8244095,"+"
"E",153,"Flower-visiting",49.706102375,"Pollination","D",1,49.706102375,"+"
"E",205,"Flower-visiting",74.57591465,"Pollination","D",1,74.57591465,"+"
"E",118,"Flower-visiting",37.287957325,"Pollination","D",1,37.287957325,"+"
"SE",330,"Flower-visiting",410.843651185345,"Pollination","D",1,410.843651185345,"+"
"SE",105,"Flower-visiting",414.109440109345,"Pollination","D",1,414.109440109345,"+"
"SE",321,"Flower-visiting",3630.29689050159,"Pollination","D",1,3630.29689050159,"+"
"SE",202,"Flower-visiting",417.375229033345,"Pollination","D",1,417.375229033345,"+"
"SE",260,"Flower-visiting",20381.4469046734,"Pollination","D",1,20381.4469046734,"+"
"SE",123,"Flower-visiting",8528.30760384112,"Pollination","D",1,8528.30760384112,"+"
"SE",312,"Flower-visiting",1385.57539303534,"Pollination","D",1,1385.57539303534,"+"
"SE",183,"Flower-visiting",469.925021735345,"Pollination","D",1,469.925021735345,"+"
"SE",179,"Flower-visiting",20076.0717522859,"Pollination","D",1,20076.0717522859,"+"
"SE",164,"Flower-visiting",12832.4954210902,"Pollination","D",1,12832.4954210902,"+"
"SE",141,"Flower-visiting",425.044931506845,"Pollination","D",1,425.044931506845,"+"
"SE",126,"Flower-visiting",5057.72619278379,"Pollination","D",1,5057.72619278379,"+"
"SE",193,"Flower-visiting",436.992040684138,"Pollination","D",1,436.992040684138,"+"
"SE",166,"Flower-visiting",410.843651185345,"Pollination","D",1,410.843651185345,"+"
"SE",228,"Flower-visiting",439.935301544345,"Pollination","D",1,439.935301544345,"+"
"SE",322,"Flower-visiting",4445.95715781918,"Pollination","D",1,4445.95715781918,"+"
"SE",278,"Flower-visiting",1634.61872873631,"Pollination","D",1,1634.61872873631,"+"
"SE",144,"Flower-visiting",424.694953231845,"Pollination","D",1,424.694953231845,"+"
"SE",198,"Flower-visiting",563.794726732345,"Pollination","D",1,563.794726732345,"+"
"SE",326,"Flower-visiting",729.693243973345,"Pollination","D",1,729.693243973345,"+"
"SE",128,"Flower-visiting",430.295556668043,"Pollination","D",1,430.295556668043,"+"
"SE",265,"Flower-visiting",847.527957640086,"Pollination","D",1,847.527957640086,"+"
"SE",245,"Flower-visiting",2100.31942205058,"Pollination","D",1,2100.31942205058,"+"
"SE",307,"Flower-visiting",14053.0254397236,"Pollination","D",1,14053.0254397236,"+"
"SE",281,"Flower-visiting",453.304664090043,"Pollination","D",1,453.304664090043,"+"
"SE",280,"Flower-visiting",423.763978820043,"Pollination","D",1,423.763978820043,"+"
"SE",248,"Flower-visiting",712.284747501543,"Pollination","D",1,712.284747501543,"+"
"SE",190,"Flower-visiting",1088.87096871409,"Pollination","D",1,1088.87096871409,"+"
"SE",186,"Flower-visiting",1330.97833382753,"Pollination","D",1,1330.97833382753,"+"
"SE",284,"Flower-visiting",423.763978820043,"Pollination","D",1,423.763978820043,"+"
"SE",203,"Flower-visiting",423.763978820043,"Pollination","D",1,423.763978820043,"+"
"SE",196,"Flower-visiting",1841.22507596013,"Pollination","D",1,1841.22507596013,"+"
"SE",131,"Flower-visiting",848.420825818448,"Pollination","D",1,848.420825818448,"+"
"SE",138,"Flower-visiting",3038.42389324538,"Pollination","D",1,3038.42389324538,"+"
"SE",249,"Flower-visiting",1973.79595242295,"Pollination","D",1,1973.79595242295,"+"
"SE",233,"Flower-visiting",1971.45574191293,"Pollination","D",1,1971.45574191293,"+"
"SE",238,"Flower-visiting",5063.84778137845,"Pollination","D",1,5063.84778137845,"+"
"SE",288,"Flower-visiting",325.457801159483,"Pollination","D",1,325.457801159483,"+"
"SE",209,"Flower-visiting",1434.82630815948,"Pollination","D",1,1434.82630815948,"+"
"SE",287,"Flower-visiting",698.241868471759,"Pollination","D",1,698.241868471759,"+"
"SE",181,"Flower-visiting",348.1438078,"Pollination","D",1,348.1438078,"+"
"SE",250,"Flower-visiting",1372.40556970474,"Pollination","D",1,1372.40556970474,"+"
"SE",306,"Flower-visiting",1889.74910495776,"Pollination","D",1,1889.74910495776,"+"
"SE",253,"Flower-visiting",1122.23706910776,"Pollination","D",1,1122.23706910776,"+"
"SE",251,"Flower-visiting",382.658064607759,"Pollination","D",1,382.658064607759,"+"
"SE",173,"Flower-visiting",1536.15908881931,"Pollination","D",1,1536.15908881931,"+"
"SE",132,"Flower-visiting",1526.66217200431,"Pollination","D",1,1526.66217200431,"+"
"SE",223,"Flower-visiting",395.899001928879,"Pollination","D",1,395.899001928879,"+"
"SE",256,"Flower-visiting",1577.65478643664,"Pollination","D",1,1577.65478643664,"+"
"SE",142,"Flower-visiting",395.899001928879,"Pollination","D",1,395.899001928879,"+"
"SE",143,"Flower-visiting",395.899001928879,"Pollination","D",1,395.899001928879,"+"
"SE",222,"Flower-visiting",698.370121778879,"Pollination","D",1,698.370121778879,"+"
"SE",158,"Flower-visiting",970.277045613879,"Pollination","D",1,970.277045613879,"+"
"SE",170,"Flower-visiting",395.899001928879,"Pollination","D",1,395.899001928879,"+"
"SE",267,"Flower-visiting",395.899001928879,"Pollination","D",1,395.899001928879,"+"
"SE",140,"Flower-visiting",989.747505096983,"Pollination","D",1,989.747505096983,"+"
"SE",308,"Flower-visiting",2624.48291101888,"Pollination","D",1,2624.48291101888,"+"
"SE",305,"Flower-visiting",365.807935215517,"Pollination","D",1,365.807935215517,"+"
"SE",520,"Butterfly",204.37362751269,"Pollination","D",1,204.37362751269,"+"
