"","management","services","node_id","taxon","node_int","node_to","services_to","hop","type"
"71","IN","Pollination",514,"Butterfly",NA,95,"Crop production",1,"I"
"72","IN","Pollination",516,"Butterfly",NA,95,"Crop production",1,"I"
"73","IN","Pollination",523,"Butterfly",NA,95,"Crop production",1,"I"
"74","IN","Crop damage",495,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"75","IN","Crop damage",496,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"76","IN","Crop damage",497,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"77","IN","Crop damage",498,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"78","IN","Crop damage",499,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"79","IN","Crop damage",500,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"80","IN","Crop damage",501,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"81","IN","Crop damage",502,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"82","IN","Crop damage",503,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"83","IN","Crop damage",504,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"84","IN","Crop damage",505,"Seed-feeding bird",NA,99,"Crop production",1,"I"
"85","E","None",11,"Plant",NA,105,"Pollination",1,"I"
"86","E","None",77,"Plant",NA,317,"Pollination",1,"I"
"87","E","None",77,"Plant",NA,202,"Pollination",1,"I"
"88","E","None",78,"Plant",NA,123,"Pollination",1,"I"
"89","E","None",26,"Plant",NA,183,"Pollination",1,"I"
"90","E","None",20,"Plant",NA,123,"Pollination",1,"I"
"91","E","None",20,"Plant",NA,126,"Pollination",1,"I"
"92","E","None",26,"Plant",NA,318,"Pollination",1,"I"
"93","E","None",76,"Plant",NA,276,"Pollination",1,"I"
"94","E","None",26,"Plant",NA,144,"Pollination",1,"I"
"95","E","None",76,"Plant",NA,322,"Pollination",1,"I"
"96","E","None",20,"Plant",NA,279,"Pollination",1,"I"
"97","E","None",61,"Plant",NA,278,"Pollination",1,"I"
"98","E","None",61,"Plant",NA,190,"Pollination",1,"I"
"99","E","None",61,"Plant",NA,318,"Pollination",1,"I"
"100","E","None",61,"Plant",NA,186,"Pollination",1,"I"
"101","E","None",61,"Plant",NA,282,"Pollination",1,"I"
"102","E","None",61,"Plant",NA,203,"Pollination",1,"I"
"103","E","None",61,"Plant",NA,317,"Pollination",1,"I"
"104","E","None",26,"Plant",NA,232,"Pollination",1,"I"
"105","E","None",61,"Plant",NA,232,"Pollination",1,"I"
"106","E","None",61,"Plant",NA,276,"Pollination",1,"I"
"107","E","Crop production",95,"Crop",NA,295,"Pollination",1,"I"
"108","E","Crop production",95,"Crop",NA,112,"Pollination",1,"I"
"109","E","Crop production",95,"Crop",NA,126,"Pollination",1,"I"
"110","E","None",11,"Plant",NA,232,"Pollination",1,"I"
"111","E","Crop production",99,"Crop",NA,358,"Crop damage",1,"I"
"112","E","Crop production",98,"Crop",NA,358,"Crop damage",1,"I"
"113","E","Crop production",97,"Crop",NA,358,"Crop damage",1,"I"
"114","E","None",44,"Plant",NA,358,"Crop damage",1,"I"
"115","E","Crop production",97,"Crop",NA,351,"Crop damage",1,"I"
"116","E","Crop damage",358,"Aphid",NA,376,"Pest control",1,"I"
"117","E","Crop damage",358,"Aphid",NA,377,"Pest control",1,"I"
"118","E","Crop damage",358,"Aphid",NA,368,"Pest control",1,"I"
"119","E","None",343,"Aphid",NA,367,"Pest control",1,"I"
"120","E","Crop damage",358,"Aphid",NA,367,"Pest control",1,"I"
"121","E","Crop damage",358,"Aphid",NA,378,"Pest control",1,"I"
"122","E","Crop damage",358,"Aphid",NA,374,"Pest control",1,"I"
"123","E","Crop damage",358,"Aphid",NA,369,"Pest control",1,"I"
"124","E","Crop damage",358,"Aphid",NA,365,"Pest control",1,"I"
"125","E","Crop damage",358,"Aphid",NA,381,"Pest control",1,"I"
"126","E","Crop damage",358,"Aphid",NA,380,"Pest control",1,"I"
"127","E","None",361,"Aphid",NA,374,"Pest control",1,"I"
"128","E","Crop damage",358,"Aphid",NA,370,"Pest control",1,"I"
"129","E","None",341,"Aphid",NA,381,"Pest control",1,"I"
"130","E","None",343,"Aphid",NA,377,"Pest control",1,"I"
"131","E","None",343,"Aphid",NA,380,"Pest control",1,"I"
"132","E","None",343,"Aphid",NA,376,"Pest control",1,"I"
"133","E","None",26,"Plant",NA,445,"Pest control",1,"I"
"134","E","None",26,"Plant",NA,438,"Pest control",1,"I"
"135","E","None",26,"Plant",NA,422,"Pest control",1,"I"
"136","E","Crop production",98,"Crop",NA,445,"Pest control",1,"I"
"137","E","None",19,"Plant",NA,469,"Pest control",1,"I"
"138","E","Crop production",99,"Crop",NA,412,"Pest control",1,"I"
"139","E","None",77,"Plant",NA,445,"Pest control",1,"I"
"140","E","None",64,"Plant",NA,445,"Pest control",1,"I"
"141","E","None",77,"Plant",NA,422,"Pest control",1,"I"
"142","E","None",64,"Plant",NA,438,"Pest control",1,"I"
"143","E","None",28,"Plant",NA,445,"Pest control",1,"I"
"144","E","None",11,"Plant",NA,469,"Pest control",1,"I"
"145","E","Crop production",94,"Crop",NA,445,"Pest control",1,"I"
"146","E","Crop production",94,"Crop",NA,429,"Pest control",1,"I"
"147","E","None",11,"Plant",NA,445,"Pest control",1,"I"
"148","E","Crop production",94,"Crop",NA,457,"Pest control",1,"I"
"149","E","Crop production",94,"Crop",NA,438,"Pest control",1,"I"
"150","E","Crop production",96,"Crop",NA,445,"Pest control",1,"I"
"151","E","Crop production",96,"Crop",NA,438,"Pest control",1,"I"
"152","E","Crop production",95,"Crop",NA,469,"Pest control",1,"I"
"153","E","Crop production",95,"Crop",NA,445,"Pest control",1,"I"
"154","E","Crop production",95,"Crop",NA,422,"Pest control",1,"I"
"155","E","Crop production",95,"Crop",NA,438,"Pest control",1,"I"
"156","E","None",44,"Plant",NA,438,"Pest control",1,"I"
"157","E","None",26,"Plant",NA,469,"Pest control",1,"I"
"158","E","None",4,"Plant",NA,508,"Crop damage",1,"I"
"159","E","None",5,"Plant",NA,508,"Crop damage",1,"I"
"160","E","None",7,"Plant",NA,508,"Crop damage",1,"I"
"161","E","None",11,"Plant",NA,508,"Crop damage",1,"I"
"162","E","None",12,"Plant",NA,508,"Crop damage",1,"I"
"163","E","None",14,"Plant",NA,508,"Crop damage",1,"I"
"164","E","None",30,"Plant",NA,508,"Crop damage",1,"I"
"165","E","None",33,"Plant",NA,508,"Crop damage",1,"I"
"166","E","None",36,"Plant",NA,508,"Crop damage",1,"I"
"167","E","None",39,"Plant",NA,508,"Crop damage",1,"I"
"168","E","None",44,"Plant",NA,508,"Crop damage",1,"I"
"169","E","None",47,"Plant",NA,508,"Crop damage",1,"I"
"170","E","None",49,"Plant",NA,508,"Crop damage",1,"I"
"171","E","None",57,"Plant",NA,508,"Crop damage",1,"I"
"172","E","None",59,"Plant",NA,508,"Crop damage",1,"I"
"173","E","None",67,"Plant",NA,508,"Crop damage",1,"I"
"174","E","None",72,"Plant",NA,508,"Crop damage",1,"I"
"175","E","None",80,"Plant",NA,508,"Crop damage",1,"I"
"176","E","None",82,"Plant",NA,508,"Crop damage",1,"I"
"177","E","Crop production",99,"Crop",NA,508,"Crop damage",1,"I"
"178","E","None",78,"Plant",NA,308,"Pollination",1,"I"
"179","E","None",11,"Plant",NA,179,"Pollination",1,"I"
"180","E","None",11,"Plant",NA,164,"Pollination",1,"I"
"181","E","None",47,"Plant",NA,179,"Pollination",1,"I"
"182","E","None",61,"Plant",NA,179,"Pollination",1,"I"
"183","E","None",76,"Plant",NA,179,"Pollination",1,"I"
"184","E","None",26,"Plant",NA,228,"Pollination",1,"I"
"185","E","None",26,"Plant",NA,179,"Pollination",1,"I"
"186","E","None",38,"Plant",NA,179,"Pollination",1,"I"
"187","E","None",26,"Plant",NA,198,"Pollination",1,"I"
"188","E","None",61,"Plant",NA,264,"Pollination",1,"I"
"189","E","None",61,"Plant",NA,244,"Pollination",1,"I"
"190","E","None",61,"Plant",NA,303,"Pollination",1,"I"
"191","E","None",61,"Plant",NA,164,"Pollination",1,"I"
"192","E","None",20,"Plant",NA,164,"Pollination",1,"I"
"193","E","None",61,"Plant",NA,247,"Pollination",1,"I"
"194","E","None",28,"Plant",NA,244,"Pollination",1,"I"
"195","E","None",61,"Plant",NA,138,"Pollination",1,"I"
"196","E","None",61,"Plant",NA,248,"Pollination",1,"I"
"197","E","None",47,"Plant",NA,138,"Pollination",1,"I"
"198","E","None",61,"Plant",NA,286,"Pollination",1,"I"
"199","E","None",61,"Plant",NA,285,"Pollination",1,"I"
"200","E","None",26,"Plant",NA,164,"Pollination",1,"I"
"201","E","None",61,"Plant",NA,249,"Pollination",1,"I"
"202","E","None",61,"Plant",NA,302,"Pollination",1,"I"
"203","E","None",11,"Plant",NA,249,"Pollination",1,"I"
"204","E","None",11,"Plant",NA,138,"Pollination",1,"I"
"205","E","None",11,"Plant",NA,222,"Pollination",1,"I"
"206","E","None",11,"Plant",NA,303,"Pollination",1,"I"
"207","E","None",32,"Plant",NA,519,"Pollination",1,"I"
"208","E","None",32,"Plant",NA,519,"Butterfly watching",1,"I"
"209","E","None",32,"Plant",NA,524,"Pollination",1,"I"
"210","E","None",32,"Plant",NA,524,"Butterfly watching",1,"I"
"211","E","Crop production",95,"Crop",NA,514,"Pollination",1,"I"
"212","E","Crop production",95,"Crop",NA,514,"Butterfly watching",1,"I"
"213","E","None",91,"Plant",NA,516,"Pollination",1,"I"
"214","E","None",91,"Plant",NA,516,"Butterfly watching",1,"I"
"215","E","Crop production",95,"Crop",NA,516,"Pollination",1,"I"
"216","E","Crop production",95,"Crop",NA,516,"Butterfly watching",1,"I"
"217","E","None",61,"Plant",NA,517,"Pollination",1,"I"
"218","E","None",61,"Plant",NA,517,"Butterfly watching",1,"I"
"219","E","None",14,"Plant",NA,523,"Pollination",1,"I"
"220","E","None",14,"Plant",NA,523,"Butterfly watching",1,"I"
"221","E","Crop production",95,"Crop",NA,523,"Pollination",1,"I"
"222","E","Crop production",95,"Crop",NA,523,"Butterfly watching",1,"I"
"223","E","None",14,"Plant",NA,513,"Pollination",1,"I"
"224","E","None",14,"Plant",NA,513,"Butterfly watching",1,"I"
"225","E","None",28,"Plant",NA,513,"Pollination",1,"I"
"226","E","None",28,"Plant",NA,513,"Butterfly watching",1,"I"
"227","E","None",26,"Plant",NA,514,"Pollination",1,"I"
"228","E","None",26,"Plant",NA,514,"Butterfly watching",1,"I"
"229","E","None",28,"Plant",NA,514,"Pollination",1,"I"
"230","E","None",28,"Plant",NA,514,"Butterfly watching",1,"I"
"231","E","None",28,"Plant",NA,516,"Pollination",1,"I"
"232","E","None",28,"Plant",NA,516,"Butterfly watching",1,"I"
"233","E","None",26,"Plant",NA,517,"Pollination",1,"I"
"234","E","None",26,"Plant",NA,517,"Butterfly watching",1,"I"
"235","E","None",28,"Plant",NA,517,"Pollination",1,"I"
"236","E","None",28,"Plant",NA,517,"Butterfly watching",1,"I"
"237","E","None",28,"Plant",NA,519,"Pollination",1,"I"
"238","E","None",28,"Plant",NA,519,"Butterfly watching",1,"I"
"239","E","None",28,"Plant",NA,523,"Pollination",1,"I"
"240","E","None",28,"Plant",NA,523,"Butterfly watching",1,"I"
"241","E","None",61,"Plant",NA,523,"Pollination",1,"I"
"242","E","None",61,"Plant",NA,523,"Butterfly watching",1,"I"
"243","E","None",11,"Plant",NA,525,"Pollination",1,"I"
"244","E","None",11,"Plant",NA,525,"Butterfly watching",1,"I"
"245","E","None",14,"Plant",NA,525,"Pollination",1,"I"
"246","E","None",14,"Plant",NA,525,"Butterfly watching",1,"I"
"247","E","None",26,"Plant",NA,525,"Pollination",1,"I"
"248","E","None",26,"Plant",NA,525,"Butterfly watching",1,"I"
"249","E","None",28,"Plant",NA,525,"Pollination",1,"I"
"250","E","None",28,"Plant",NA,525,"Butterfly watching",1,"I"
"251","E","None",26,"Plant",NA,522,"Pollination",1,"I"
"252","E","None",26,"Plant",NA,522,"Butterfly watching",1,"I"
"253","E","None",4,"Plant",NA,495,"Crop damage",1,"I"
"254","E","None",4,"Plant",NA,495,"Bird watching",1,"I"
"255","E","None",4,"Plant",NA,496,"Crop damage",1,"I"
"256","E","None",4,"Plant",NA,496,"Bird watching",1,"I"
"257","E","None",4,"Plant",NA,497,"Crop damage",1,"I"
"258","E","None",4,"Plant",NA,497,"Bird watching",1,"I"
"259","E","None",4,"Plant",NA,498,"Crop damage",1,"I"
"260","E","None",4,"Plant",NA,498,"Bird watching",1,"I"
"261","E","None",4,"Plant",NA,499,"Crop damage",1,"I"
"262","E","None",4,"Plant",NA,499,"Seed dispersal",1,"I"
"263","E","None",4,"Plant",NA,499,"Bird watching",1,"I"
"264","E","None",4,"Plant",NA,500,"Crop damage",1,"I"
"265","E","None",4,"Plant",NA,500,"Seed dispersal",1,"I"
"266","E","None",4,"Plant",NA,501,"Crop damage",1,"I"
"267","E","None",4,"Plant",NA,501,"Seed dispersal",1,"I"
"268","E","None",4,"Plant",NA,501,"Bird watching",1,"I"
"269","E","None",4,"Plant",NA,502,"Crop damage",1,"I"
"270","E","None",4,"Plant",NA,502,"Seed dispersal",1,"I"
"271","E","None",4,"Plant",NA,503,"Crop damage",1,"I"
"272","E","None",4,"Plant",NA,503,"Bird watching",1,"I"
"273","E","None",4,"Plant",NA,504,"Crop damage",1,"I"
"274","E","None",4,"Plant",NA,504,"Seed dispersal",1,"I"
"275","E","None",4,"Plant",NA,505,"Crop damage",1,"I"
"276","E","None",5,"Plant",NA,496,"Crop damage",1,"I"
"277","E","None",5,"Plant",NA,496,"Bird watching",1,"I"
"278","E","None",5,"Plant",NA,497,"Crop damage",1,"I"
"279","E","None",5,"Plant",NA,497,"Bird watching",1,"I"
"280","E","None",5,"Plant",NA,498,"Crop damage",1,"I"
"281","E","None",5,"Plant",NA,498,"Bird watching",1,"I"
"282","E","None",5,"Plant",NA,499,"Crop damage",1,"I"
"283","E","None",5,"Plant",NA,499,"Seed dispersal",1,"I"
"284","E","None",5,"Plant",NA,499,"Bird watching",1,"I"
"285","E","None",5,"Plant",NA,501,"Crop damage",1,"I"
"286","E","None",5,"Plant",NA,501,"Seed dispersal",1,"I"
"287","E","None",5,"Plant",NA,501,"Bird watching",1,"I"
"288","E","None",5,"Plant",NA,504,"Crop damage",1,"I"
"289","E","None",5,"Plant",NA,504,"Seed dispersal",1,"I"
"290","E","None",7,"Plant",NA,496,"Crop damage",1,"I"
"291","E","None",7,"Plant",NA,496,"Bird watching",1,"I"
"292","E","None",7,"Plant",NA,497,"Crop damage",1,"I"
"293","E","None",7,"Plant",NA,497,"Bird watching",1,"I"
"294","E","None",7,"Plant",NA,498,"Crop damage",1,"I"
"295","E","None",7,"Plant",NA,498,"Bird watching",1,"I"
"296","E","None",7,"Plant",NA,499,"Crop damage",1,"I"
"297","E","None",7,"Plant",NA,499,"Seed dispersal",1,"I"
"298","E","None",7,"Plant",NA,499,"Bird watching",1,"I"
"299","E","None",7,"Plant",NA,500,"Crop damage",1,"I"
"300","E","None",7,"Plant",NA,500,"Seed dispersal",1,"I"
"301","E","None",7,"Plant",NA,501,"Crop damage",1,"I"
"302","E","None",7,"Plant",NA,501,"Seed dispersal",1,"I"
"303","E","None",7,"Plant",NA,501,"Bird watching",1,"I"
"304","E","None",7,"Plant",NA,502,"Crop damage",1,"I"
"305","E","None",7,"Plant",NA,502,"Seed dispersal",1,"I"
"306","E","None",7,"Plant",NA,503,"Crop damage",1,"I"
"307","E","None",7,"Plant",NA,503,"Bird watching",1,"I"
"308","E","None",7,"Plant",NA,504,"Crop damage",1,"I"
"309","E","None",7,"Plant",NA,504,"Seed dispersal",1,"I"
"310","E","None",8,"Plant",NA,496,"Crop damage",1,"I"
"311","E","None",8,"Plant",NA,496,"Bird watching",1,"I"
"312","E","None",8,"Plant",NA,497,"Crop damage",1,"I"
"313","E","None",8,"Plant",NA,497,"Bird watching",1,"I"
"314","E","None",8,"Plant",NA,498,"Crop damage",1,"I"
"315","E","None",8,"Plant",NA,498,"Bird watching",1,"I"
"316","E","None",8,"Plant",NA,499,"Crop damage",1,"I"
"317","E","None",8,"Plant",NA,499,"Seed dispersal",1,"I"
"318","E","None",8,"Plant",NA,499,"Bird watching",1,"I"
"319","E","None",8,"Plant",NA,501,"Crop damage",1,"I"
"320","E","None",8,"Plant",NA,501,"Seed dispersal",1,"I"
"321","E","None",8,"Plant",NA,501,"Bird watching",1,"I"
"322","E","None",8,"Plant",NA,504,"Crop damage",1,"I"
"323","E","None",8,"Plant",NA,504,"Seed dispersal",1,"I"
"324","E","None",8,"Plant",NA,505,"Crop damage",1,"I"
"325","E","None",11,"Plant",NA,497,"Crop damage",1,"I"
"326","E","None",11,"Plant",NA,497,"Bird watching",1,"I"
"327","E","None",11,"Plant",NA,499,"Crop damage",1,"I"
"328","E","None",11,"Plant",NA,499,"Seed dispersal",1,"I"
"329","E","None",11,"Plant",NA,499,"Bird watching",1,"I"
"330","E","None",11,"Plant",NA,500,"Crop damage",1,"I"
"331","E","None",11,"Plant",NA,500,"Seed dispersal",1,"I"
"332","E","None",11,"Plant",NA,501,"Crop damage",1,"I"
"333","E","None",11,"Plant",NA,501,"Seed dispersal",1,"I"
"334","E","None",11,"Plant",NA,501,"Bird watching",1,"I"
"335","E","None",11,"Plant",NA,502,"Crop damage",1,"I"
"336","E","None",11,"Plant",NA,502,"Seed dispersal",1,"I"
"337","E","None",11,"Plant",NA,504,"Crop damage",1,"I"
"338","E","None",11,"Plant",NA,504,"Seed dispersal",1,"I"
"339","E","None",11,"Plant",NA,505,"Crop damage",1,"I"
"340","E","None",12,"Plant",NA,495,"Crop damage",1,"I"
"341","E","None",12,"Plant",NA,495,"Bird watching",1,"I"
"342","E","None",12,"Plant",NA,496,"Crop damage",1,"I"
"343","E","None",12,"Plant",NA,496,"Bird watching",1,"I"
"344","E","None",12,"Plant",NA,497,"Crop damage",1,"I"
"345","E","None",12,"Plant",NA,497,"Bird watching",1,"I"
"346","E","None",12,"Plant",NA,498,"Crop damage",1,"I"
"347","E","None",12,"Plant",NA,498,"Bird watching",1,"I"
"348","E","None",12,"Plant",NA,499,"Crop damage",1,"I"
"349","E","None",12,"Plant",NA,499,"Seed dispersal",1,"I"
"350","E","None",12,"Plant",NA,499,"Bird watching",1,"I"
"351","E","None",12,"Plant",NA,500,"Crop damage",1,"I"
"352","E","None",12,"Plant",NA,500,"Seed dispersal",1,"I"
"353","E","None",12,"Plant",NA,501,"Crop damage",1,"I"
"354","E","None",12,"Plant",NA,501,"Seed dispersal",1,"I"
"355","E","None",12,"Plant",NA,501,"Bird watching",1,"I"
"356","E","None",12,"Plant",NA,502,"Crop damage",1,"I"
"357","E","None",12,"Plant",NA,502,"Seed dispersal",1,"I"
"358","E","None",12,"Plant",NA,503,"Crop damage",1,"I"
"359","E","None",12,"Plant",NA,503,"Bird watching",1,"I"
"360","E","None",12,"Plant",NA,504,"Crop damage",1,"I"
"361","E","None",12,"Plant",NA,504,"Seed dispersal",1,"I"
"362","E","None",12,"Plant",NA,505,"Crop damage",1,"I"
"363","E","None",13,"Plant",NA,499,"Crop damage",1,"I"
"364","E","None",13,"Plant",NA,499,"Seed dispersal",1,"I"
"365","E","None",13,"Plant",NA,499,"Bird watching",1,"I"
"366","E","None",13,"Plant",NA,502,"Crop damage",1,"I"
"367","E","None",13,"Plant",NA,502,"Seed dispersal",1,"I"
"368","E","None",13,"Plant",NA,504,"Crop damage",1,"I"
"369","E","None",13,"Plant",NA,504,"Seed dispersal",1,"I"
"370","E","None",13,"Plant",NA,505,"Crop damage",1,"I"
"371","E","None",14,"Plant",NA,496,"Crop damage",1,"I"
"372","E","None",14,"Plant",NA,496,"Bird watching",1,"I"
"373","E","None",14,"Plant",NA,497,"Crop damage",1,"I"
"374","E","None",14,"Plant",NA,497,"Bird watching",1,"I"
"375","E","None",14,"Plant",NA,498,"Crop damage",1,"I"
"376","E","None",14,"Plant",NA,498,"Bird watching",1,"I"
"377","E","None",14,"Plant",NA,499,"Crop damage",1,"I"
"378","E","None",14,"Plant",NA,499,"Seed dispersal",1,"I"
"379","E","None",14,"Plant",NA,499,"Bird watching",1,"I"
"380","E","None",14,"Plant",NA,500,"Crop damage",1,"I"
"381","E","None",14,"Plant",NA,500,"Seed dispersal",1,"I"
"382","E","None",14,"Plant",NA,502,"Crop damage",1,"I"
"383","E","None",14,"Plant",NA,502,"Seed dispersal",1,"I"
"384","E","None",14,"Plant",NA,503,"Crop damage",1,"I"
"385","E","None",14,"Plant",NA,503,"Bird watching",1,"I"
"386","E","None",14,"Plant",NA,504,"Crop damage",1,"I"
"387","E","None",14,"Plant",NA,504,"Seed dispersal",1,"I"
"388","E","None",16,"Plant",NA,496,"Crop damage",1,"I"
"389","E","None",16,"Plant",NA,496,"Bird watching",1,"I"
"390","E","None",16,"Plant",NA,497,"Crop damage",1,"I"
"391","E","None",16,"Plant",NA,497,"Bird watching",1,"I"
"392","E","None",16,"Plant",NA,498,"Crop damage",1,"I"
"393","E","None",16,"Plant",NA,498,"Bird watching",1,"I"
"394","E","None",16,"Plant",NA,499,"Crop damage",1,"I"
"395","E","None",16,"Plant",NA,499,"Seed dispersal",1,"I"
"396","E","None",16,"Plant",NA,499,"Bird watching",1,"I"
"397","E","None",16,"Plant",NA,500,"Crop damage",1,"I"
"398","E","None",16,"Plant",NA,500,"Seed dispersal",1,"I"
"399","E","None",16,"Plant",NA,503,"Crop damage",1,"I"
"400","E","None",16,"Plant",NA,503,"Bird watching",1,"I"
"401","E","None",16,"Plant",NA,504,"Crop damage",1,"I"
"402","E","None",16,"Plant",NA,504,"Seed dispersal",1,"I"
"403","E","None",16,"Plant",NA,505,"Crop damage",1,"I"
"404","E","None",17,"Plant",NA,497,"Crop damage",1,"I"
"405","E","None",17,"Plant",NA,497,"Bird watching",1,"I"
"406","E","None",17,"Plant",NA,500,"Crop damage",1,"I"
"407","E","None",17,"Plant",NA,500,"Seed dispersal",1,"I"
"408","E","None",19,"Plant",NA,496,"Crop damage",1,"I"
"409","E","None",19,"Plant",NA,496,"Bird watching",1,"I"
